"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"16.05.2021","26,04","26,27","26,74","25,85","84,35M","-0,91%"
"09.05.2021","26,28","24,80","26,38","24,32","508,83M","7,79%"
"02.05.2021","24,38","23,80","24,45","22,88","294,39M","3,22%"
"25.04.2021","23,62","23,85","24,29","23,10","284,26M","-0,30%"
"18.04.2021","23,69","22,95","24,89","22,77","394,94M","3,22%"
"11.04.2021","22,95","23,19","23,83","22,81","315,87M","-2,96%"
"04.04.2021","23,65","24,13","24,37","23,37","250,32M","-1,00%"
"28.03.2021","23,89","23,34","24,39","23,28","205,40M","1,83%"
"21.03.2021","23,46","23,69","23,88","22,16","301,84M","-2,25%"
"14.03.2021","24,00","23,11","24,13","23,07","354,56M","3,58%"
"07.03.2021","23,17","21,94","23,49","20,86","574,14M","3,48%"
"28.02.2021","22,39","22,80","23,22","20,48","677,94M","0,67%"
"21.02.2021","22,24","22,80","25,25","21,40","1,27B","-18,62%"
"14.02.2021","27,33","28,52","30,92","27,17","376,35M","-3,90%"
"07.02.2021","28,44","28,51","29,30","27,12","324,39M","-2,00%"
"31.01.2021","29,02","27,26","30,09","26,83","350,42M","8,73%"
"24.01.2021","26,69","27,25","28,45","26,53","268,23M","-1,48%"
"17.01.2021","27,09","28,31","29,12","26,56","283,28M","-3,66%"
"10.01.2021","28,12","30,61","31,56","28,03","339,66M","-9,64%"
"03.01.2021","31,12","28,65","31,76","28,24","389,76M","9,81%"
"27.12.2020","28,34","28,36","28,52","27,99","103,17M","1,40%"
"20.12.2020","27,95","27,19","28,25","26,52","195,54M","-0,53%"
"13.12.2020","28,10","28,03","28,39","27,47","243,62M","1,92%"
"06.12.2020","27,57","27,27","28,20","26,40","317,26M","0,15%"
"29.11.2020","27,53","25,26","27,57","24,84","361,24M","7,96%"
"22.11.2020","25,50","24,05","26,67","24,04","444,71M","7,82%"
"15.11.2020","23,65","23,20","24,14","22,98","367,73M","4,51%"
"08.11.2020","22,63","21,11","23,36","21,04","564,91M","14,58%"
"01.11.2020","19,75","19,51","20,07","19,27","210,22M","4,28%"
"25.10.2020","18,94","20,33","20,53","17,74","332,56M","-7,92%"
"18.10.2020","20,57","19,41","21,14","19,25","395,11M","6,41%"
"11.10.2020","19,33","19,91","20,37","19,32","204,13M","-2,37%"
"04.10.2020","19,80","19,36","20,70","19,24","346,89M","4,10%"
"27.09.2020","19,02","20,33","20,56","19,02","329,28M","-5,51%"
"20.09.2020","20,13","21,29","21,46","19,87","291,76M","-7,02%"
"13.09.2020","21,65","21,94","22,17","21,43","277,58M","-1,05%"
"06.09.2020","21,88","22,50","22,77","21,75","243,50M","-4,54%"
"30.08.2020","22,92","22,32","23,12","21,89","306,07M","1,69%"
"23.08.2020","22,54","22,86","23,15","22,04","223,77M","-0,09%"
"16.08.2020","22,56","22,68","23,32","22,15","245,29M","-0,49%"
